FeatureName,ParamName,Type,Range,Default,Comments
Intensity,,,,,
GLCM,Bins,Int,,6,
GLCM,Directions,Int,03:26,27,The number of directions around the center voxel to calculate features on
GLCM,Radius,Int,(1:9),1,Radius around the center voxel which can be in mm as well (needs to be defined as float in same space as input image/mask)
GLCM,Offset,String,[Individual:Average:Combined],Average,Either individual offset values or averaged
GLCM,Dimension,String,[2D:3D],3D,For calculating 2D slice (maximum area along specified axis) or full 3D volume features
GLCM,Axis,String,[z:x:y],z,The axis with maximum area for which the 2D slice computation is to be done (keep in mind that single slice computation for individual offsets might not work)
GLRLM,Bins,Int,,6,
GLRLM,Directions,Int,03:26,27,The number of directions around the center voxel to calculate features on
GLRLM,Radius,Int,(1:9),1,Radius around the center voxel which can be in mm as well (needs to be defined as float in same space as input image/mask)
GLRLM,Dimension,String,[2D:3D],3D,For calculating 2D slice (maximum area along specified axis) or full 3D volume features
GLRLM,Axis,String,[z:x:y],z,The axis with maximum area for which the 2D slice computation is to be done (keep in mind that single slice computation for individual offsets might not work)
GLRLM,Offset,String,[Individual:Average:Combined],Average,Either individual offset values or averaged
GLRLM,Range,Int,,10,The run length distance 
NGTDM,Bins,Int,,6,
NGTDM,Directions,Int,03:26,27,The number of directions around the center voxel to calculate features on
NGTDM,Radius,Int,(1:9),1,Radius around the center voxel
NGTDM,Offset,String,[Individual:Average],Average,Either individual offset values or averaged
NGTDM,Dimension,String,[2D:3D],3D,For calculating 2D slice (maximum area along specified axis) or full 3D volume features
NGTDM,Axis,String,[z:x:y],z,The axis with maximum area for which the 2D slice computation is to be done (keep in mind that single slice computation for individual offsets might not work)
GLSZM,Bins,Int,,6,
GLSZM,Directions,Int,03:26,27,The number of directions around the center voxel to calculate features on
GLSZM,Radius,Int,(1:9),1,Radius around the center voxel
GLSZM,Dimension,String,[2D:3D],3D,For calculating 2D slice (maximum area along specified axis) or full 3D volume features
GLSZM,Axis,String,[z:x:y],z,The axis with maximum area for which the 2D slice computation is to be done (keep in mind that single slice computation for individual offsets might not work)
GLSZM,Range,Int,,4,The run length distance
